run_id,timestamp,model_type,tag,kind,epochs_run,best_epoch,best_val_loss,crosses_f1,crosses_auc,macro_f1,looks_f1,actions_f1,run_dir,best_ckpt,git_sha
test_fit_smoke_one_tiny_chunk0,test_fit,full,,train,1,1,1.5028,0.6667,0.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-52\test_fit_smoke_one_tiny_chunk0,C:\Users\LENOVO\AppData\Local\Temp\claude\pytest-of-LENOVO\pytest-52\test_fit_smoke_one_tiny_chunk0\checkpoints\best.pth,aa0a0e6
test_phase_schedule_smoke_thre0,test_phase,full,schedule,schedule,3,1,1.5,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-0\test_phase_schedule_smoke_thre0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-0\test_phase_schedule_smoke_thre0\phase_2_p3\checkpoints\best.pth,0b1fc3a
test_reload_best_between_phase0,test_reload,full,schedule,schedule,2,1,1.5035,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-0\test_reload_best_between_phase0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-0\test_reload_best_between_phase0\phase_1_p2\checkpoints\best.pth,0b1fc3a
test_fit_smoke_one_tiny_chunk0,test_fit,full,,train,1,1,1.5028,0.6667,0.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-0\test_fit_smoke_one_tiny_chunk0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-0\test_fit_smoke_one_tiny_chunk0\checkpoints\best.pth,0b1fc3a
test_fit_smoke_one_tiny_chunk0,test_fit,full,,train,1,1,1.5028,0.6667,0.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-1\test_fit_smoke_one_tiny_chunk0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-1\test_fit_smoke_one_tiny_chunk0\checkpoints\best.pth,7603ff3
test_phase_schedule_smoke_thre0,test_phase,full,schedule,schedule,3,1,1.5022,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-1\test_phase_schedule_smoke_thre0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-1\test_phase_schedule_smoke_thre0\phase_2_p3\checkpoints\best.pth,7603ff3
test_reload_best_between_phase0,test_reload,full,schedule,schedule,2,1,1.521,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-1\test_reload_best_between_phase0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-1\test_reload_best_between_phase0\phase_1_p2\checkpoints\best.pth,7603ff3
test_fit_smoke_one_tiny_chunk0,test_fit,full,,train,1,1,1.5028,0.6667,0.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-2\test_fit_smoke_one_tiny_chunk0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-2\test_fit_smoke_one_tiny_chunk0\checkpoints\best.pth,7603ff3
test_phase_schedule_smoke_thre0,test_phase,full,schedule,schedule,3,1,1.5022,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-2\test_phase_schedule_smoke_thre0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-2\test_phase_schedule_smoke_thre0\phase_2_p3\checkpoints\best.pth,7603ff3
test_reload_best_between_phase0,test_reload,full,schedule,schedule,2,1,1.521,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-2\test_reload_best_between_phase0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-2\test_reload_best_between_phase0\phase_1_p2\checkpoints\best.pth,7603ff3
test_phase_schedule_smoke_thre0,test_phase,full,schedule,schedule,3,1,1.5317,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-5\test_phase_schedule_smoke_thre0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-5\test_phase_schedule_smoke_thre0\phase_2_p3\checkpoints\best.pth,5524350
test_reload_best_between_phase0,test_reload,full,schedule,schedule,2,1,1.4748,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-5\test_reload_best_between_phase0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-5\test_reload_best_between_phase0\phase_1_p2\checkpoints\best.pth,5524350
test_fit_smoke_one_tiny_chunk0,test_fit,full,,train,1,1,1.5028,0.6667,0.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-5\test_fit_smoke_one_tiny_chunk0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-5\test_fit_smoke_one_tiny_chunk0\checkpoints\best.pth,5524350
test_phase_schedule_smoke_thre0,test_phase,full,schedule,schedule,3,1,1.493,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-6\test_phase_schedule_smoke_thre0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-6\test_phase_schedule_smoke_thre0\phase_2_p3\checkpoints\best.pth,4c2120b
test_reload_best_between_phase0,test_reload,full,schedule,schedule,2,1,1.4894,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-6\test_reload_best_between_phase0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-6\test_reload_best_between_phase0\phase_1_p2\checkpoints\best.pth,4c2120b
test_fit_smoke_one_tiny_chunk0,test_fit,full,,train,1,1,1.5028,0.6667,0.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-6\test_fit_smoke_one_tiny_chunk0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-6\test_fit_smoke_one_tiny_chunk0\checkpoints\best.pth,4c2120b
test_phase_schedule_smoke_thre0,test_phase,full,schedule,schedule,3,1,1.493,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-8\test_phase_schedule_smoke_thre0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-8\test_phase_schedule_smoke_thre0\phase_2_p3\checkpoints\best.pth,00ed66e
test_reload_best_between_phase0,test_reload,full,schedule,schedule,2,1,1.4894,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-8\test_reload_best_between_phase0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-8\test_reload_best_between_phase0\phase_1_p2\checkpoints\best.pth,00ed66e
test_fit_smoke_one_tiny_chunk0,test_fit,full,,train,1,1,1.5028,0.6667,0.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-8\test_fit_smoke_one_tiny_chunk0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-8\test_fit_smoke_one_tiny_chunk0\checkpoints\best.pth,00ed66e
test_phase_schedule_smoke_thre0,test_phase,full,schedule,schedule,3,1,1.493,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-11\test_phase_schedule_smoke_thre0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-11\test_phase_schedule_smoke_thre0\phase_2_p3\checkpoints\best.pth,f181079
test_reload_best_between_phase0,test_reload,full,schedule,schedule,2,1,1.4894,0.6667,1.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-11\test_reload_best_between_phase0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-11\test_reload_best_between_phase0\phase_1_p2\checkpoints\best.pth,f181079
test_fit_smoke_one_tiny_chunk0,test_fit,full,,train,1,1,1.5028,0.6667,0.0,0.2222,0.0,0.0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-11\test_fit_smoke_one_tiny_chunk0,C:\Users\LENOVO\AppData\Local\Temp\pytest-of-LENOVO\pytest-11\test_fit_smoke_one_tiny_chunk0\checkpoints\best.pth,f181079
